 #Energy          XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 4.001000E-01  5.12068817E+02  5.12068817E+02  7.30942921E+00  2.86745846E+02  0.00000000E+00  0.00000000E+00
 4.051000E-01  5.26413383E+02  5.26413383E+02  8.88092907E+00  2.90329273E+02  0.00000000E+00  0.00000000E+00
 4.101000E-01  5.40128825E+02  5.40128825E+02  8.99054310E+00  2.93912700E+02  0.00000000E+00  0.00000000E+00
 4.151000E-01  5.54016577E+02  5.54016577E+02  9.09992063E+00  2.97496127E+02  0.00000000E+00  0.00000000E+00
 4.201000E-01  5.68913125E+02  5.68913125E+02  9.20953181E+00  3.01079555E+02  0.00000000E+00  0.00000000E+00
 4.251000E-01  5.83150351E+02  5.83150351E+02  9.31914300E+00  3.04662982E+02  0.00000000E+00  0.00000000E+00
 4.301000E-01  5.97559276E+02  5.97554667E+02  9.42850913E+00  3.08246409E+02  0.00000000E+00  0.00000000E+00
 4.351000E-01  6.13000846E+02  6.13000846E+02  9.53811747E+00  3.11829836E+02  0.00000000E+00  0.00000000E+00
 4.401000E-01  6.27752709E+02  6.27752709E+02  9.64772580E+00  3.15413264E+02  0.00000000E+00  0.00000000E+00
 4.451000E-01  6.43565575E+02  6.43565575E+02  9.75708057E+00  3.18996691E+02  0.00000000E+00  0.00000000E+00
 4.502000E-01  6.59705164E+02  6.59705164E+02  9.86887817E+00  3.22651787E+02  0.00000000E+00  0.00000000E+00
 4.552000E-01  6.74990280E+02  6.74990280E+02  9.97848365E+00  3.26235214E+02  0.00000000E+00  0.00000000E+00
 4.602000E-01  6.91349653E+02  6.91349653E+02  1.00880891E+01  3.29818641E+02  0.00000000E+00  0.00000000E+00
 4.652000E-01  7.07903607E+02  7.07903607E+02  1.01974296E+01  3.33402068E+02  0.00000000E+00  0.00000000E+00
 4.702000E-01  7.24641227E+02  7.24641227E+02  1.03070323E+01  3.36985495E+02  0.00000000E+00  0.00000000E+00
 4.752000E-01  7.41561975E+02  7.41561975E+02  1.21527407E+01  3.40568923E+02  0.00000000E+00  0.00000000E+00
 4.802000E-01  7.58671126E+02  7.58671126E+02  1.22802913E+01  3.44152350E+02  0.00000000E+00  0.00000000E+00
 4.852000E-01  7.75962567E+02  7.75962567E+02  1.24081577E+01  3.47735777E+02  0.00000000E+00  0.00000000E+00
 4.902000E-01  7.93441820E+02  7.93441820E+02  1.25360242E+01  3.51319204E+02  0.00000000E+00  0.00000000E+00
 4.952000E-01  8.11102508E+02  8.11102508E+02  1.26635615E+01  3.54902632E+02  0.00000000E+00  0.00000000E+00
 5.002000E-01  8.29941933E+02  8.29941933E+02  1.27914246E+01  3.58486059E+02  0.00000000E+00  0.00000000E+00
 5.052000E-01  8.47986465E+02  8.47986465E+02  1.29192877E+01  3.62069486E+02  0.00000000E+00  0.00000000E+00
 5.102000E-01  8.66204623E+02  8.66204623E+02  1.30468118E+01  3.65652913E+02  0.00000000E+00  0.00000000E+00
 5.152000E-01  8.85635954E+02  8.85635954E+02  1.31746716E+01  3.69236340E+02  0.00000000E+00  0.00000000E+00
 5.202000E-01  9.04235925E+02  9.04235925E+02  1.33021858E+01  3.72819768E+02  0.00000000E+00  0.00000000E+00
 5.252000E-01  9.24054025E+02  9.24054025E+02  1.34300422E+01  3.76403195E+02  0.00000000E+00  0.00000000E+00
 5.302000E-01  9.44076537E+02  9.44076537E+02  1.35578987E+01  3.79986622E+02  0.00000000E+00  0.00000000E+00
 5.352000E-01  9.63237465E+02  9.63237465E+02  1.36853996E+01  3.83570049E+02  0.00000000E+00  0.00000000E+00
 5.402000E-01  9.83651035E+02  9.83651035E+02  1.57865745E+01  3.87153476E+02  0.00000000E+00  0.00000000E+00
 5.452000E-01  1.00426048E+03  1.00426048E+03  1.59326923E+01  3.90736904E+02  0.00000000E+00  0.00000000E+00
 5.502000E-01  1.02506515E+03  1.02506515E+03  1.60783925E+01  3.94320331E+02  0.00000000E+00  0.00000000E+00
 5.552000E-01  1.04607231E+03  1.04607231E+03  1.62245066E+01  3.97903758E+02  0.00000000E+00  0.00000000E+00
 5.602000E-01  1.06728175E+03  1.06728175E+03  1.63701954E+01  4.01487185E+02  0.00000000E+00  0.00000000E+00
 5.652000E-01  1.08868501E+03  1.08868501E+03  1.65163057E+01  4.05070613E+02  0.00000000E+00  0.00000000E+00
 5.702000E-01  1.11140625E+03  1.11140625E+03  1.66624159E+01  4.08654040E+02  0.00000000E+00  0.00000000E+00
 5.752000E-01  1.13321311E+03  1.13321311E+03  1.68080896E+01  4.12237467E+02  0.00000000E+00  0.00000000E+00
 5.802000E-01  1.15522076E+03  1.15522076E+03  1.69541961E+01  4.15820894E+02  0.00000000E+00  0.00000000E+00
 5.852000E-01  1.17856432E+03  1.17856432E+03  1.70998584E+01  4.19404321E+02  0.00000000E+00  0.00000000E+00
 5.902000E-01  1.20213548E+03  1.20213548E+03  1.72459611E+01  4.22987749E+02  0.00000000E+00  0.00000000E+00
 5.952000E-01  1.22473484E+03  1.22473484E+03  1.73920638E+01  4.26571176E+02  0.00000000E+00  0.00000000E+00
 6.002000E-01  1.24871443E+03  1.24871443E+03  1.75377109E+01  4.30154603E+02  0.00000000E+00  0.00000000E+00
 6.052000E-01  1.27291147E+03  1.27291147E+03  1.98942859E+01  4.33738030E+02  0.00000000E+00  0.00000000E+00
 6.102000E-01  1.29731595E+03  1.29730618E+03  2.00581262E+01  4.37321457E+02  0.00000000E+00  0.00000000E+00
 6.152000E-01  1.32192709E+03  1.32192709E+03  2.02224832E+01  4.40904885E+02  0.00000000E+00  0.00000000E+00
 6.202000E-01  1.34674410E+03  1.34674410E+03  2.03868402E+01  4.44488312E+02  0.00000000E+00  0.00000000E+00
 6.252000E-01  1.37301481E+03  1.37301481E+03  2.05506635E+01  4.48071739E+02  0.00000000E+00  0.00000000E+00
 6.302000E-01  1.39826134E+03  1.39826134E+03  2.07150162E+01  4.51655166E+02  0.00000000E+00  0.00000000E+00
 6.352000E-01  1.42372237E+03  1.42372237E+03  2.08788267E+01  4.55238594E+02  0.00000000E+00  0.00000000E+00
 6.402000E-01  1.45064266E+03  1.45064266E+03  2.10431751E+01  4.58822021E+02  0.00000000E+00  0.00000000E+00
 6.452000E-01  1.47779511E+03  1.47779511E+03  2.12069729E+01  4.62405448E+02  0.00000000E+00  0.00000000E+00
 6.502000E-01  1.50389379E+03  1.50389379E+03  2.13713170E+01  4.65988875E+02  0.00000000E+00  0.00000000E+00
 6.552000E-01  1.53147736E+03  1.53147736E+03  2.15351020E+01  4.69572302E+02  0.00000000E+00  0.00000000E+00
 6.602000E-01  1.55929144E+03  1.55929144E+03  2.16994419E+01  4.73155730E+02  0.00000000E+00  0.00000000E+00
 6.652000E-01  1.58862597E+03  1.58862597E+03  2.18632141E+01  4.76739157E+02  0.00000000E+00  0.00000000E+00
 6.702000E-01  1.61688513E+03  1.61688513E+03  2.44750552E+01  4.80322584E+02  0.00000000E+00  0.00000000E+00
 6.752000E-01  1.64537313E+03  1.64537313E+03  2.46570101E+01  4.83906011E+02  0.00000000E+00  0.00000000E+00
 6.802000E-01  1.67540679E+03  1.67540679E+03  2.48396005E+01  4.87489439E+02  0.00000000E+00  0.00000000E+00
 6.852000E-01  1.70434786E+03  1.70434786E+03  2.50221910E+01  4.91072866E+02  0.00000000E+00  0.00000000E+00
 6.902000E-01  1.73485146E+03  1.73485146E+03  2.52041270E+01  4.94656293E+02  0.00000000E+00  0.00000000E+00
 6.952000E-01  1.76558703E+03  1.76558703E+03  2.53867127E+01  4.98239720E+02  0.00000000E+00  0.00000000E+00
 7.002000E-01  1.79655361E+03  1.79655361E+03  2.55686346E+01  5.01823147E+02  0.00000000E+00  0.00000000E+00
 7.052000E-01  1.82776373E+03  1.82776373E+03  2.57512155E+01  5.05406575E+02  0.00000000E+00  0.00000000E+00
 7.102000E-01  1.85920332E+03  1.85920332E+03  2.59331232E+01  5.08990002E+02  0.00000000E+00  0.00000000E+00
 7.152000E-01  1.89087138E+03  1.89087138E+03  2.61156994E+01  5.12573429E+02  0.00000000E+00  0.00000000E+00
 7.202000E-01  1.92418344E+03  1.92418344E+03  2.62975930E+01  5.16156856E+02  0.00000000E+00  0.00000000E+00
 7.252000E-01  1.95774045E+03  1.95774045E+03  2.64794771E+01  5.19740283E+02  0.00000000E+00  0.00000000E+00
 7.302000E-01  1.99012101E+03  1.99012101E+03  2.93282480E+01  5.23323711E+02  0.00000000E+00  0.00000000E+00
 7.352000E-01  2.02417064E+03  2.02417064E+03  2.95283049E+01  5.26907138E+02  0.00000000E+00  0.00000000E+00
 7.402000E-01  2.05846252E+03  2.05846252E+03  2.97291231E+01  5.30490565E+02  0.00000000E+00  0.00000000E+00
 7.452000E-01  2.09444282E+03  2.09444282E+03  2.99291645E+01  5.34073992E+02  0.00000000E+00  0.00000000E+00
 7.503000E-01  2.12950867E+03  2.12950867E+03  3.01339937E+01  5.37729088E+02  0.00000000E+00  0.00000000E+00
 7.553000E-01  2.16453240E+03  2.16453240E+03  3.03340194E+01  5.41312515E+02  0.00000000E+00  0.00000000E+00
 7.603000E-01  2.20128431E+03  2.20128431E+03  3.05348271E+01  5.44895943E+02  0.00000000E+00  0.00000000E+00
 7.653000E-01  2.23829122E+03  2.23829122E+03  3.07348373E+01  5.48479370E+02  0.00000000E+00  0.00000000E+00
 7.703000E-01  2.27555196E+03  2.27555196E+03  3.09356398E+01  5.52062797E+02  0.00000000E+00  0.00000000E+00
 7.753000E-01  2.31308222E+03  2.31308222E+03  3.11356343E+01  5.55646224E+02  0.00000000E+00  0.00000000E+00
 7.803000E-01  2.35086447E+03  2.35086447E+03  3.13364317E+01  5.59229651E+02  0.00000000E+00  0.00000000E+00
 7.853000E-01  2.39039860E+03  2.39039860E+03  3.15364107E+01  5.62813079E+02  0.00000000E+00  0.00000000E+00
 7.903000E-01  2.43021706E+03  2.43021706E+03  3.46215044E+01  5.66396506E+02  0.00000000E+00  0.00000000E+00
 7.953000E-01  2.46878335E+03  2.46878335E+03  3.48405447E+01  5.69979933E+02  0.00000000E+00  0.00000000E+00
 8.003000E-01  2.50912395E+03  2.50912395E+03  3.50586753E+01  5.73563360E+02  0.00000000E+00  0.00000000E+00
 8.053000E-01  2.55130001E+03  2.55130001E+03  3.52777099E+01  5.77146787E+02  0.00000000E+00  0.00000000E+00
 8.103000E-01  2.59217517E+03  2.59217517E+03  3.54958235E+01  5.80730215E+02  0.00000000E+00  0.00000000E+00
 8.153000E-01  2.63490118E+03  2.63490118E+03  3.57139258E+01  5.84313642E+02  0.00000000E+00  0.00000000E+00
 8.203000E-01  2.67632503E+03  2.67632503E+03  3.59329490E+01  5.87897069E+02  0.00000000E+00  0.00000000E+00
 8.253000E-01  2.71959599E+03  2.71959599E+03  3.61510344E+01  5.91480496E+02  0.00000000E+00  0.00000000E+00
 8.303000E-01  2.76475859E+03  2.76475859E+03  3.63700519E+01  5.95063924E+02  0.00000000E+00  0.00000000E+00
 8.353000E-01  2.80858666E+03  2.80858666E+03  3.65881203E+01  5.98647351E+02  0.00000000E+00  0.00000000E+00
 8.403000E-01  2.85432143E+03  2.85432143E+03  3.68061774E+01  6.02230778E+02  0.00000000E+00  0.00000000E+00
 8.453000E-01  2.90032380E+03  2.90032380E+03  4.01106152E+01  6.05814205E+02  0.00000000E+00  0.00000000E+00
