 #Energy          XX(cm^-1)       YY(cm^-1)      ZZ(cm^-1)       XY(cm^-1)       YZ(cm^-1)       XZ(cm^-1)
 4.702000E-01  1.08700922E+03  1.08700922E+03  1.03277181E+01  4.76569458E+02  0.00000000E+00  0.00000000E+00
 4.752000E-01  1.11286389E+03  1.11286389E+03  1.04375407E+01  4.81637189E+02  0.00000000E+00  0.00000000E+00
 4.802000E-01  1.13900774E+03  1.13900774E+03  1.05470881E+01  4.86704921E+02  0.00000000E+00  0.00000000E+00
 4.852000E-01  1.16631018E+03  1.16631018E+03  1.06569079E+01  4.91772652E+02  0.00000000E+00  0.00000000E+00
 4.902000E-01  1.19302435E+03  1.19302435E+03  1.07667276E+01  4.96840383E+02  0.00000000E+00  0.00000000E+00
 4.952000E-01  1.22091253E+03  1.22091253E+03  1.08762636E+01  5.01908115E+02  0.00000000E+00  0.00000000E+00
 5.002000E-01  1.24910458E+03  1.24910458E+03  1.09860805E+01  5.06975846E+02  0.00000000E+00  0.00000000E+00
 5.052000E-01  1.27759188E+03  1.27759188E+03  1.10958974E+01  5.12043578E+02  0.00000000E+00  0.00000000E+00
 5.102000E-01  1.30637351E+03  1.30637351E+03  1.30729922E+01  5.17111309E+02  0.00000000E+00  0.00000000E+00
 5.152000E-01  1.33545716E+03  1.33545716E+03  1.32011085E+01  5.22179040E+02  0.00000000E+00  0.00000000E+00
 5.202000E-01  1.36482486E+03  1.36482486E+03  1.33292249E+01  5.27246772E+02  0.00000000E+00  0.00000000E+00
 5.252000E-01  1.39543850E+03  1.39543850E+03  1.34569902E+01  5.32314503E+02  0.00000000E+00  0.00000000E+00
 5.302000E-01  1.42636915E+03  1.42636915E+03  1.35851032E+01  5.37382234E+02  0.00000000E+00  0.00000000E+00
 5.352000E-01  1.45760704E+03  1.45760704E+03  1.37132162E+01  5.42449966E+02  0.00000000E+00  0.00000000E+00
 5.402000E-01  1.48914162E+03  1.48914162E+03  1.38409682E+01  5.47517697E+02  0.00000000E+00  0.00000000E+00
 5.452000E-01  1.52099079E+03  1.52099079E+03  1.39690778E+01  5.52585428E+02  0.00000000E+00  0.00000000E+00
 5.502000E-01  1.55314416E+03  1.55314416E+03  1.40971875E+01  5.57653160E+02  0.00000000E+00  0.00000000E+00
 5.552000E-01  1.58660671E+03  1.58660671E+03  1.42249261E+01  5.62720891E+02  0.00000000E+00  0.00000000E+00
 5.602000E-01  1.62038851E+03  1.62037816E+03  1.43530324E+01  5.67788623E+02  0.00000000E+00  0.00000000E+00
 5.652000E-01  1.65447791E+03  1.65447791E+03  1.44811388E+01  5.72856354E+02  0.00000000E+00  0.00000000E+00
 5.702000E-01  1.68889473E+03  1.68889473E+03  1.46088641E+01  5.77924085E+02  0.00000000E+00  0.00000000E+00
 5.752000E-01  1.72362752E+03  1.72362752E+03  1.47369670E+01  5.82991817E+02  0.00000000E+00  0.00000000E+00
 5.802000E-01  1.75972374E+03  1.75972374E+03  1.48646823E+01  5.88059548E+02  0.00000000E+00  0.00000000E+00
 5.852000E-01  1.79615065E+03  1.79615065E+03  1.71346079E+01  5.93127279E+02  0.00000000E+00  0.00000000E+00
 5.902000E-01  1.83184156E+03  1.83184156E+03  1.72810075E+01  5.98195011E+02  0.00000000E+00  0.00000000E+00
 5.952000E-01  1.86999183E+03  1.86999183E+03  1.74269526E+01  6.03262742E+02  0.00000000E+00  0.00000000E+00
 6.002000E-01  1.90740373E+03  1.90740373E+03  1.75733484E+01  6.08330474E+02  0.00000000E+00  0.00000000E+00
 6.052000E-01  1.94623238E+03  1.94623238E+03  1.77197441E+01  6.13398205E+02  0.00000000E+00  0.00000000E+00
 6.102000E-01  1.98429084E+03  1.98429084E+03  1.78656740E+01  6.18465936E+02  0.00000000E+00  0.00000000E+00
 6.152000E-01  2.02490026E+03  2.02490026E+03  1.80120660E+01  6.23533668E+02  0.00000000E+00  0.00000000E+00
 6.202000E-01  2.06474950E+03  2.06474950E+03  1.81579844E+01  6.28601399E+02  0.00000000E+00  0.00000000E+00
 6.252000E-01  2.10492322E+03  2.10492322E+03  1.83043725E+01  6.33669130E+02  0.00000000E+00  0.00000000E+00
 6.302000E-01  2.14657901E+03  2.14657901E+03  1.84502796E+01  6.38736862E+02  0.00000000E+00  0.00000000E+00
 6.352000E-01  2.18857285E+03  2.18857285E+03  1.85966639E+01  6.43804593E+02  0.00000000E+00  0.00000000E+00
 6.402000E-01  2.23091663E+03  2.23091663E+03  1.87430482E+01  6.48872324E+02  0.00000000E+00  0.00000000E+00
 6.452000E-01  2.27476648E+03  2.27476648E+03  1.88889400E+01  6.53940056E+02  0.00000000E+00  0.00000000E+00
 6.502000E-01  2.31898006E+03  2.31898006E+03  1.90353205E+01  6.59007787E+02  0.00000000E+00  0.00000000E+00
 6.552000E-01  2.36355596E+03  2.36355596E+03  2.15788509E+01  6.64075519E+02  0.00000000E+00  0.00000000E+00
 6.602000E-01  2.40849274E+03  2.40849274E+03  2.17435247E+01  6.69143250E+02  0.00000000E+00  0.00000000E+00
 6.652000E-01  2.45496405E+03  2.45496405E+03  2.19081985E+01  6.74210981E+02  0.00000000E+00  0.00000000E+00
 6.702000E-01  2.50180919E+03  2.50180919E+03  2.20722968E+01  6.79278713E+02  0.00000000E+00  0.00000000E+00
 6.752000E-01  2.54902666E+03  2.54902666E+03  2.22369663E+01  6.84346444E+02  0.00000000E+00  0.00000000E+00
 6.802000E-01  2.59661494E+03  2.59661494E+03  2.24010518E+01  6.89414175E+02  0.00000000E+00  0.00000000E+00
 6.852000E-01  2.64577909E+03  2.64577909E+03  2.25657169E+01  6.94481907E+02  0.00000000E+00  0.00000000E+00
 6.902000E-01  2.69534335E+03  2.69534335E+03  2.27297896E+01  6.99549638E+02  0.00000000E+00  0.00000000E+00
